0	1	10	#		
1	0	2	11	#	
2	1	3	12	#	
3	2	4	13	#	
4	3	5	14	#	
5	4	6	15	#	
6	5	7	16	#	
7	6	8	17	#	
8	7	9	18	#	
9	8	19	#		
10	0	11	20	#	
11	1	10	12	21	#
12	2	11	13	22	#
13	3	12	14	23	#
14	4	13	15	24	#
15	5	14	16	25	#
16	6	15	17	26	#
17	7	16	18	27	#
18	8	17	19	28	#
19	9	18	29	#	
20	10	21	30	#	
21	11	20	22	31	#
22	12	21	23	32	#
23	13	22	24	33	#
24	14	23	25	34	#
25	15	24	26	35	#
26	16	25	27	36	#
27	17	26	28	37	#
28	18	27	29	38	#
29	19	28	39	#	
30	20	31	40	#	
31	21	30	32	41	#
32	22	31	33	42	#
33	23	32	34	43	#
34	24	33	35	44	#
35	25	34	36	45	#
36	26	35	37	46	#
37	27	36	38	47	#
38	28	37	39	48	#
39	29	38	49	#	
40	30	41	50	#	
41	31	40	42	51	#
42	32	41	43	52	#
43	33	42	44	53	#
44	34	43	45	54	#
45	35	44	46	55	#
46	36	45	47	56	#
47	37	46	48	57	#
48	38	47	49	58	#
49	39	48	59	#	
50	40	51	60	#	
51	41	50	52	61	#
52	42	51	53	62	#
53	43	52	54	63	#
54	44	53	55	64	#
55	45	54	56	65	#
56	46	55	57	66	#
57	47	56	58	67	#
58	48	57	59	68	#
59	49	58	69	#	
60	50	61	70	#	
61	51	60	62	71	#
62	52	61	63	72	#
63	53	62	64	73	#
64	54	63	65	74	#
65	55	64	66	75	#
66	56	65	67	76	#
67	57	66	68	77	#
68	58	67	69	78	#
69	59	68	79	#	
70	60	71	80	#	
71	61	70	72	81	#
72	62	71	73	82	#
73	63	72	74	83	#
74	64	73	75	84	#
75	65	74	76	85	#
76	66	75	77	86	#
77	67	76	78	87	#
78	68	77	79	88	#
79	69	78	89	#	
80	70	81	90	#	
81	71	80	82	91	#
82	72	81	83	92	#
83	73	82	84	93	#
84	74	83	85	94	#
85	75	84	86	95	#
86	76	85	87	96	#
87	77	86	88	97	#
88	78	87	89	98	#
89	79	88	99	#	
90	80	91	#		
91	81	90	92	#	
92	82	91	93	#	
93	83	92	94	#	
94	84	93	95	#	
95	85	94	96	#	
96	86	95	97	#	
97	87	96	98	#	
98	88	97	99	#	
99	89	98	#		
